Run Group Frequency Power
0 4I 68 134932797.72762787
0 4I 69 123707981.60806558
0 5E 3 976044669.6508527
0 5E 4 813775850.9204619
0 5E 5 825400795.1753602
0 5E 6 854579564.0737076
0 5E 7 862646540.9614055
0 5E 8 860199199.8413397
0 5E 9 859764663.658097
0 5E 10 861645070.8795046
0 5E 11 858761636.2030034
0 5E 12 843572444.6832075
0 5E 13 816621628.9749739
0 5E 14 785875852.3735406
0 5E 15 754459011.7232213
0 5E 16 726590653.876029
0 5E 17 719027850.1496361
0 5E 18 743178560.9242692
0 5E 19 785309924.0735948
0 5E 20 811444245.659955
0 5E 21 801990773.1469965
0 5E 22 773886723.7829198
0 5E 23 743379283.7595298
0 5E 24 709830351.560983
0 5E 25 677924324.5157824
0 5E 26 645806325.3047937
0 5E 27 610009780.8251548
0 5E 28 600022240.1247616
0 5E 29 644966466.9129705
0 5E 30 711233936.0365963
0 5E 31 732454249.9441197
0 5E 32 691764956.5404375
0 5E 33 630265845.293193
0 5E 34 595209733.9386564
0 5E 35 598923990.4597037
0 5E 36 607717873.9122334
0 5E 37 580207711.2157936
0 5E 38 515526171.23308563
0 5E 39 447164196.3636434
0 5E 40 400181109.03520656
0 5E 41 375834313.8584491
0 5E 42 367770200.9241259
0 5E 43 365852875.53574
0 5E 44 359810655.6493969
0 5E 45 347827859.6262075
0 5E 46 326391276.20777714
0 5E 47 298088377.09353817
0 5E 48 281613607.91339505
0 5E 49 279036614.6707455
0 5E 50 269561252.13990474
0 5E 51 252239178.52600437
0 5E 52 247818812.15336266
0 5E 53 256083282.71955138
0 5E 54 257980381.19277883
0 5E 55 249377593.61390197
0 5E 56 236405397.89376155
0 5E 57 218567190.73926368
0 5E 58 195540497.10682157
0 5E 59 174935578.95198268
0 5E 60 162676447.16354117
0 5E 61 150638560.71192774
0 5E 62 129505476.98197073
0 5E 63 106668132.26133966
0 5E 64 94609803.72126141
0 5E 65 95142955.054113
0 5E 66 100939944.45388557
0 5E 67 103406838.28121817
0 5E 68 98324199.80184679
0 5E 69 85452104.15979464
0 5I 3 894108550.5724528
0 5I 4 721609982.2243183
0 5I 5 706466967.1643348
0 5I 6 718012865.8679471
0 5I 7 722926057.5062671
0 5I 8 722766339.2130988
0 5I 9 720701594.2249736
0 5I 10 715716383.8085656
0 5I 11 707847846.9787245
0 5I 12 697774870.7325275
0 5I 13 685551463.850523
0 5I 14 672017803.6564308
0 5I 15 656306951.727304
0 5I 16 639052399.8861277
0 5I 17 629188527.1704223
0 5I 18 636474893.1540122
0 5I 19 657834426.7985705
0 5I 20 674911138.3437129
0 5I 21 673626003.3457775
0 5I 22 658973638.7592746
0 5I 23 636555849.9108111
0 5I 24 606912835.7576746
0 5I 25 578331775.7653105
0 5I 26 555543653.8967828
0 5I 27 536409155.9739206
0 5I 28 532305746.53713787
0 5I 29 557081110.1212213
0 5I 30 592209334.002386
0 5I 31 599308722.96455
0 5I 32 567991753.357608
0 5I 33 522108324.5508771
0 5I 34 490056807.35682034
0 5I 35 481062655.0983055
0 5I 36 476703966.26909006
0 5I 37 453990229.6731938
0 5I 38 414822573.9244897
0 5I 39 377382336.7275394
0 5I 40 349728285.1929946
0 5I 41 329155941.3702559
0 5I 42 315123881.92274433
0 5I 43 305258685.5082624
0 5I 44 294573666.9416841
0 5I 45 282114822.916993
0 5I 46 265126414.6836143
0 5I 47 244851033.10404927
0 5I 48 233028557.5360933
0 5I 49 230228302.1927174
0 5I 50 222555857.3702405
0 5I 51 209211843.4558987
0 5I 52 202672529.94434905
0 5I 53 202431010.82026792
0 5I 54 197644893.99826828
0 5I 55 187650558.8545887
0 5I 56 177571509.65932864
0 5I 57 166561823.3553573
0 5I 58 152561827.03733787
0 5I 59 139044777.00794682
0 5I 60 129780666.49141121
0 5I 61 120479426.76858953
0 5I 62 105526237.95226015
0 5I 63 88853211.4348018
0 5I 64 78465689.96462297
0 5I 65 76668181.45747456
0 5I 66 79061134.13134098
0 5I 67 79959338.42239591
0 5I 68 76774721.87752777
0 5I 69 68738882.01614383
0 6E 3 99733907.92150189
0 6E 4 99599892.68903092
0 6E 5 99899807.32547551
0 6E 6 100132216.0088251
0 6E 7 100270015.91371661
0 6E 8 100425052.4973247
0 6E 9 100510070.34551653
0 6E 10 100376379.38005269
0 6E 11 100063797.53187864
0 6E 12 99766613.51320702
0 6E 13 99677530.45273246
0 6E 14 99882683.33388412
0 6E 15 100291800.95473365
0 6E 16 100679049.22963446
0 6E 17 100897856.47764295
0 6E 18 100935726.74443623
0 6E 19 100787158.69431174
0 6E 20 100463514.43316951
0 6E 21 100026689.77974093
0 6E 22 99595884.08385813
0 6E 23 99424180.30114633
0 6E 24 99725869.763802
0 6E 25 100266140.71391858
0 6E 26 100483186.20113918
0 6E 27 100183417.5777066
0 6E 28 99811545.59103686
0 6E 29 99846605.82511324
0 6E 30 100128584.54317743
0 6E 31 100137902.02949354
0 6E 32 99834718.51475705
0 6E 33 99648592.4748778
0 6E 34 99845498.8929053
0 6E 35 100348818.92948641
0 6E 36 100828098.54054806
0 6E 37 100908545.20413414
0 6E 38 100514936.56023452
0 6E 39 99917256.65938494
0 6E 40 99461383.7437044
0 6E 41 99345186.99952239
0 6E 42 99567249.06606337
0 6E 43 99947091.75107498
0 6E 44 100238295.5711344
0 6E 45 100322580.86672941
0 6E 46 100199954.49654785
0 6E 47 99910165.482488
0 6E 48 99567498.03837296
0 6E 49 99318116.46377152
0 6E 50 99302758.84566571
0 6E 51 99583775.15573606
0 6E 52 99961521.27406329
0 6E 53 100179211.66309378
0 6E 54 100322834.43424702
0 6E 55 100560528.70138413
0 6E 56 100721563.36872143
0 6E 57 100548259.43999216
0 6E 58 100120968.79233794
0 6E 59 99799191.23020093
0 6E 60 99833884.60292917
0 6E 61 100125542.75323978
0 6E 62 100376231.15078487
0 6E 63 100384980.30931434
0 6E 64 100178389.54193382
0 6E 65 99961211.82251444
0 6E 66 99868867.1686354
0 6E 67 99835880.59648952
0 6E 68 99751897.66506547
0 6E 69 99658020.8196694
0 6I 3 716841875.643009
0 6I 4 577245117.0224707
0 6I 5 562018784.1033754
0 6I 6 569825659.5698708
0 6I 7 574110857.9681956
0 6I 8 574623632.0636778
0 6I 9 573592666.445628
0 6I 10 570308978.6225327
0 6I 11 564287058.1040771
0 6I 12 556920780.3319479
0 6I 13 549503104.0438219
0 6I 14 541632280.9732013
0 6I 15 531678656.3684222
0 6I 16 520830956.9833542
0 6I 17 515300000.6648632
0 6I 18 520326384.2643162
0 6I 19 532789389.48985505
0 6I 20 540339519.7937677
0 6I 21 534602999.09637237
0 6I 22 520848172.793483
0 6I 23 504216860.2988665
0 6I 24 485376552.4457047
0 6I 25 468629364.13142717
0 6I 26 453706498.11531675
0 6I 27 437394147.4332726
0 6I 28 430303154.02584064
0 6I 29 444988963.1796917
0 6I 30 469165105.2755048
0 6I 31 475544484.19878846
0 6I 32 455554907.9972617
0 6I 33 424680303.1838823
0 6I 34 403670436.22018343
0 6I 35 400715631.1302701
0 6I 36 401989583.79104614
0 6I 37 388735173.6412052
0 6I 38 360244458.77226436
0 6I 39 328341127.63848794
0 6I 40 300404020.61307704
0 6I 41 278420374.2243065
0 6I 42 264742062.26467973
0 6I 43 258335125.80566412
0 6I 44 254960790.81640536
0 6I 45 251545073.15951318
0 6I 46 242222194.81362128
0 6I 47 224720611.8247432
0 6I 48 207179302.40949547
0 6I 49 193852824.5450149
0 6I 50 181740688.1168452
0 6I 51 174444680.1366163
0 6I 52 177713481.89742345
0 6I 53 184475725.91624212
0 6I 54 183810140.42513287
0 6I 55 176846553.47708172
0 6I 56 169035340.10576198
0 6I 57 159595741.0308441
0 6I 58 147732859.0976563
0 6I 59 138240389.15940005
0 6I 60 134264778.0269775
0 6I 61 129718544.34725687
0 6I 62 117871432.37910685
0 6I 63 102698664.43268155
0 6I 64 93019518.88690498
0 6I 65 92598918.69504294
0 6I 66 98131150.6443387
0 6I 67 102596175.03980047
0 6I 68 100889607.25606303
0 6I 69 92845033.1763978
1 2/3E 3 394723343.0764586
1 2/3E 4 372753152.8031289
1 2/3E 5 375911722.07012314
1 2/3E 6 382948360.92964745
1 2/3E 7 388528048.7254739
1 2/3E 8 391638423.6748588
1 2/3E 9 389405723.1020014
1 2/3E 10 376956882.2780558
1 2/3E 11 357417093.13487417
1 2/3E 12 344403759.0784587
1 2/3E 13 345624545.24746066
1 2/3E 14 354245902.08498734
1 2/3E 15 361742832.26720536
1 2/3E 16 366304436.81669974
1 2/3E 17 367638319.04521024
1 2/3E 18 366302328.0206045
1 2/3E 19 364807501.62245315
1 2/3E 20 362637518.89593506
1 2/3E 21 359153635.78034455
1 2/3E 22 357590779.1009364
1 2/3E 23 356884794.24424374
1 2/3E 24 350834428.4432052
1 2/3E 25 338924340.80393267
1 2/3E 26 329863463.44411457
1 2/3E 27 332026655.5589369
1 2/3E 28 342334706.56411755
1 2/3E 29 349399301.85312355
1 2/3E 30 346179550.0052955
1 2/3E 31 334182827.8197509
1 2/3E 32 318031394.4805075
1 2/3E 33 301225083.9375607
1 2/3E 34 286464573.12560284
1 2/3E 35 275959712.577917
1 2/3E 36 271615477.69696677
1 2/3E 37 274077343.27865475
1 2/3E 38 279507323.6227238
1 2/3E 39 282611331.4829007
1 2/3E 40 281498328.24269646
1 2/3E 41 275955527.4333291
1 2/3E 42 265305655.61601606
1 2/3E 43 254635515.6836178
1 2/3E 44 256019230.66204157
1 2/3E 45 273537569.47817224
1 2/3E 46 295335555.5823454
1 2/3E 47 304578009.92222893
1 2/3E 48 296329373.5883928
1 2/3E 49 283941612.36537886
1 2/3E 50 281758735.0215979
1 2/3E 51 284924451.7122178
1 2/3E 52 278069423.68929243
1 2/3E 53 258832429.062976
1 2/3E 54 240283009.76242477
1 2/3E 55 232370438.32654816
1 2/3E 56 231233919.34984243
1 2/3E 57 227888179.16545668
1 2/3E 58 220178139.06649518
1 2/3E 59 213604500.8634207
1 2/3E 60 212077043.6229227
1 2/3E 61 210759428.1765847
1 2/3E 62 202837007.84154847
1 2/3E 63 191832715.55950195
1 2/3E 64 187770516.04696247
1 2/3E 65 191157327.3107469
1 2/3E 66 193708687.72679695
1 2/3E 67 192851220.7873971
1 2/3E 68 191929120.3568359
1 2/3E 69 190382739.96220064
1 2/3I 3 956378507.0221684
1 2/3I 4 862353315.5334147
1 2/3I 5 857330508.3884683
1 2/3I 6 870021246.0007627
1 2/3I 7 880778018.8055567
1 2/3I 8 885099794.8100212
1 2/3I 9 878146283.4615827
1 2/3I 10 852568450.2391232
1 2/3I 11 814516059.5541863
1 2/3I 12 788177685.1768711
1 2/3I 13 787117591.9867392
1 2/3I 14 798581581.810379
1 2/3I 15 806960924.6493839
1 2/3I 16 809297563.9899666
1 2/3I 17 804725182.1685882
1 2/3I 18 794014447.3151724
1 2/3I 19 783741108.6011016
1 2/3I 20 774447357.8750519
1 2/3I 21 762262425.8622816
1 2/3I 22 750084398.5212243
1 2/3I 23 737293732.066557
1 2/3I 24 715505771.203515
1 2/3I 25 684464885.9479002
1 2/3I 26 658791354.8169904
1 2/3I 27 652468193.4004898
1 2/3I 28 659998712.0226043
1 2/3I 29 661773403.3129426
1 2/3I 30 645266853.5438547
1 2/3I 31 612009430.6968498
1 2/3I 32 570073806.1602019
1 2/3I 33 528518182.8801278
1 2/3I 34 494691400.6882051
1 2/3I 35 470906456.625504
1 2/3I 36 456945677.6680928
1 2/3I 37 452574873.53641725
1 2/3I 38 451602474.1928687
1 2/3I 39 445224961.162822
1 2/3I 40 431788214.7044229
1 2/3I 41 413356472.57874453
1 2/3I 42 388706987.25879365
1 2/3I 43 363650836.8035439
1 2/3I 44 356146620.3232285
1 2/3I 45 372994198.04579455
1 2/3I 46 395701272.34452605
1 2/3I 47 398239378.17855716
1 2/3I 48 373938768.4765513
1 2/3I 49 343144905.5079428
1 2/3I 50 326674309.4664297
1 2/3I 51 318771968.4798429
1 2/3I 52 300569204.4041153
1 2/3I 53 269951557.8900758
1 2/3I 54 241778590.27676547
1 2/3I 55 225157180.9625829
1 2/3I 56 214081250.9336694
1 2/3I 57 199777942.47532398
1 2/3I 58 182674559.61994654
1 2/3I 59 169449717.5833379
1 2/3I 60 162169839.33877385
1 2/3I 61 154159143.1438299
1 2/3I 62 139345025.39059228
1 2/3I 63 122462640.59664443
1 2/3I 64 112821699.36859596
1 2/3I 65 110076592.70565224
1 2/3I 66 106531500.47736022
1 2/3I 67 99846622.74905878
1 2/3I 68 92530470.37321866
1 2/3I 69 84255987.14798532
1 4E 3 109174221.15382704
1 4E 4 98124063.48945373
1 4E 5 98616585.67377174
1 4E 6 101584643.92889234
1 4E 7 104793028.77916113
1 4E 8 107343654.76400271
1 4E 9 107572162.08339745
1 4E 10 103908796.61916575
1 4E 11 98125541.19843432
1 4E 12 94958198.94221403
1 4E 13 96101326.85024771
1 4E 14 98301939.83189043
1 4E 15 99152163.29208869
1 4E 16 100107291.713856
1 4E 17 102557521.10545357
1 4E 18 105513205.62558906
1 4E 19 107554538.56281552
1 4E 20 107987315.55428876
1 4E 21 107208647.1759696
1 4E 22 106280918.72893178
1 4E 23 104887457.82062975
1 4E 24 102036093.1890933
1 4E 25 98649916.30146402
1 4E 26 97534655.87906538
1 4E 27 100637907.70500894
1 4E 28 106219015.99746174
1 4E 29 109884863.84049904
1 4E 30 108916662.80400239
1 4E 31 104285708.39931984
1 4E 32 98732623.23684625
1 4E 33 94174951.08708547
1 4E 34 91162988.98439464
1 4E 35 89839791.56694219
1 4E 36 90506880.63007924
1 4E 37 92746020.93080482
1 4E 38 94840775.29126586
1 4E 39 95883810.04723555
1 4E 40 96375534.21014395
1 4E 41 96199864.22461233
1 4E 42 94415585.62133452
1 4E 43 92349957.77390578
1 4E 44 94675036.57703917
1 4E 45 103851498.16881505
1 4E 46 115351309.56364998
1 4E 47 120993673.94018936
1 4E 48 118045191.08375475
1 4E 49 113347897.3670102
1 4E 50 113676562.54964888
1 4E 51 115761199.37310246
1 4E 52 112625540.50924107
1 4E 53 104926537.7434755
1 4E 54 99167590.68856144
1 4E 55 98532301.54289511
1 4E 56 100458957.2999717
1 4E 57 101380354.56081295
1 4E 58 100839283.0306143
1 4E 59 100946428.49592337
1 4E 60 102361428.20840898
1 4E 61 102307166.69623268
1 4E 62 99006994.84557585
1 4E 63 96135569.9067462
1 4E 64 98230794.82093927
1 4E 65 103604808.51544411
1 4E 66 107410862.35375875
1 4E 67 109069810.81625551
1 4E 68 110774228.27133197
1 4E 69 111738820.21442454
1 4I 3 681142628.9718515
1 4I 4 574256525.9683411
1 4I 5 563348043.1359758
1 4I 6 573988390.4567395
1 4I 7 585214711.9779468
1 4I 8 591052290.5088131
1 4I 9 586743617.5383286
1 4I 10 567995902.6538446
1 4I 11 540852156.9807124
1 4I 12 523131821.01805866
1 4I 13 524189559.22741973
