Run Group Frequency Power
1 2/3E 49 282073473.2624192
1 2/3E 50 292270481.65818954
1 2/3E 51 298654674.4098306
1 2/3E 52 290369570.8758762
1 2/3E 53 267826148.15459567
1 2/3E 54 246808305.03054243
1 2/3E 55 237945476.73920178
1 2/3E 56 238944927.84158862
1 2/3E 57 243709763.03491768
1 2/3E 58 245359917.1689484
1 2/3E 59 239427074.92121142
1 2/3E 60 229582158.48835358
1 2/3E 61 221657601.76433983
1 2/3E 62 217557672.14705133
1 2/3E 63 217547653.94249997
1 2/3E 64 216727073.84953412
1 2/3E 65 208229351.4987119
1 2/3E 66 195452276.14417514
1 2/3E 67 184946715.1162744
1 2/3E 68 176615656.16705954
1 2/3E 69 172640056.90261066
1 2/3I 3 912418464.5330393
1 2/3I 4 841342209.554698
1 2/3I 5 851608203.7724845
1 2/3I 6 889262125.556644
1 2/3I 7 912368958.8006872
1 2/3I 8 908111783.9127922
1 2/3I 9 883773283.7735349
1 2/3I 10 847254439.4125717
1 2/3I 11 820447044.5800351
1 2/3I 12 821816758.7349178
1 2/3I 13 838325576.762389
1 2/3I 14 853732250.6264453
1 2/3I 15 863051931.0073805
1 2/3I 16 852542834.565506
1 2/3I 17 824838997.9856943
1 2/3I 18 807929277.5835238
1 2/3I 19 803648224.819432
1 2/3I 20 793373923.2826767
1 2/3I 21 781283087.0480068
1 2/3I 22 771633310.3699286
1 2/3I 23 753812999.9016433
1 2/3I 24 731422278.3482004
1 2/3I 25 718220597.0714973
1 2/3I 26 716434166.0092831
1 2/3I 27 719820304.5642481
1 2/3I 28 717151398.000482
1 2/3I 29 694798784.1526983
1 2/3I 30 653700227.9847227
1 2/3I 31 612838298.4079748
1 2/3I 32 587034473.2659881
1 2/3I 33 578617444.6474891
1 2/3I 34 585768026.20155
1 2/3I 35 596311529.2501949
1 2/3I 36 587936042.3031611
1 2/3I 37 547235245.7858716
1 2/3I 38 483610193.61522424
1 2/3I 39 425089051.6406861
1 2/3I 40 397285834.8959984
1 2/3I 41 404279524.44139457
1 2/3I 42 427778158.97326326
1 2/3I 43 441371477.9015341
1 2/3I 44 429746080.2960829
1 2/3I 45 394882479.8885751
1 2/3I 46 350115015.05053306
1 2/3I 47 315616824.4098075
1 2/3I 48 303556137.0374513
1 2/3I 49 308022655.3265265
1 2/3I 50 319087053.54836637
1 2/3I 51 326158926.99811745
1 2/3I 52 312601515.80933315
1 2/3I 53 275390167.1257862
1 2/3I 54 234528560.73242426
1 2/3I 55 207697838.14623496
1 2/3I 56 196414909.14878848
1 2/3I 57 196349188.45641243
1 2/3I 58 199669127.9597116
1 2/3I 59 196383992.14321965
1 2/3I 60 184575734.1886413
1 2/3I 61 167476509.65629122
1 2/3I 62 147278885.06041986
1 2/3I 63 129010097.62615266
1 2/3I 64 115229402.48581856
1 2/3I 65 103521770.83948012
1 2/3I 66 94697340.1718469
1 2/3I 67 88427884.44945729
1 2/3I 68 80018291.34381604
1 2/3I 69 69835561.56071547
1 4E 3 119953697.33600096
1 4E 4 100580278.54010898
1 4E 5 101896616.88501269
1 4E 6 104444190.22894442
1 4E 7 104367133.23125124
1 4E 8 103411204.86649661
1 4E 9 102526771.11889091
1 4E 10 101942685.78124148
1 4E 11 102782392.85426986
1 4E 12 104510644.02292809
1 4E 13 104245818.98607038
1 4E 14 101713303.46018353
1 4E 15 99477440.60794997
1 4E 16 98490614.20987585
1 4E 17 100324514.96880375
1 4E 18 107488143.85578066
1 4E 19 115630507.5163324
1 4E 20 117085409.69414079
1 4E 21 112228435.83411342
1 4E 22 105771657.07265916
1 4E 23 100104517.86313549
1 4E 24 98256387.73002914
1 4E 25 102907559.36926425
1 4E 26 111781138.21238044
1 4E 27 119107256.58501717
1 4E 28 120311634.67511182
1 4E 29 115470725.03076763
1 4E 30 108157405.6174163
1 4E 31 101471627.47423351
1 4E 32 97688574.26135397
1 4E 33 98840175.60775454
1 4E 34 103054434.29084088
1 4E 35 104348899.0698566
1 4E 36 101059304.08361182
1 4E 37 95685670.11290547
1 4E 38 88278822.10987613
1 4E 39 81035025.61405551
