Run NumNeurons Group meanFR meanCV
7 15426 2/3E 3.1063 0.4238
7 15426 2/3I 6.612 0.6165
7 15426 4E 1.8775 0.4665
7 15426 4I 8.1944 0.8961
7 15426 5E 9.0846 0.8595
7 15426 5I 9.4517 0.7582
7 15426 6E 0.2104 0.5788
7 15426 6I 8.6768 0.7549
8 15426 all 5.5408 0.6532
8 15426 2/3E 3.3033 0.4759
8 15426 2/3I 6.8718 0.6176
8 15426 4E 2.2015 0.4848
8 15426 4I 8.4259 0.8699
8 15426 5E 9.8016 0.8293
8 15426 5I 9.8944 0.7316
8 15426 6E 0.2681 0.4941
8 15426 6I 8.9865 0.7226
9 15426 all 5.5195 0.6486
9 15426 2/3E 3.2849 0.4768
9 15426 2/3I 6.894 0.6174
9 15426 4E 2.1225 0.5249
9 15426 4I 8.1574 0.8035
9 15426 5E 9.8605 0.8381
9 15426 5I 9.725 0.7103
9 15426 6E 0.2083 0.5156
9 15426 6I 8.9125 0.7018
0 19278 all 5.5186 0.6234
0 19278 2/3E 3.2679 0.4402
0 19278 2/3I 6.8121 0.5967
0 19278 4E 2.2886 0.4613
0 19278 4I 8.0222 0.848
0 19278 5E 9.8841 0.8109
0 19278 5I 9.6623 0.6917
0 19278 6E 0.215 0.4249
0 19278 6I 8.9024 0.7134
1 19278 all 5.7629 0.6784
1 19278 2/3E 3.3329 0.4924
1 19278 2/3I 6.8107 0.6153
1 19278 4E 2.3499 0.5183
1 19278 4I 8.0667 0.8555
1 19278 5E 10.4883 0.8234
1 19278 5I 10.0892 0.7365
1 19278 6E 0.2983 0.6507
1 19278 6I 9.0379 0.7351
2 19278 all 5.4838 0.6054
2 19278 2/3E 3.3279 0.4164
2 19278 2/3I 6.7654 0.5901
2 19278 4E 2.1426 0.449
2 19278 4I 7.8815 0.7873
2 19278 5E 9.7368 0.8065
2 19278 5I 9.7968 0.6906
2 19278 6E 0.2033 0.4058
2 19278 6I 8.8537 0.698
3 19278 all 5.6965 0.6448
3 19278 2/3E 3.3957 0.4505
3 19278 2/3I 6.9177 0.5952
3 19278 4E 2.3798 0.4904
3 19278 4I 8.1556 0.8171
3 19278 5E 10.2284 0.8438
3 19278 5I 9.9912 0.7353
3 19278 6E 0.2406 0.5211
3 19278 6I 8.9621 0.7051
4 19278 all 5.4184 0.615
4 19278 2/3E 3.2551 0.4022
4 19278 2/3I 6.7366 0.5881
4 19278 4E 2.1061 0.4264
4 19278 4I 7.9852 0.8575
4 19278 5E 9.6466 0.7882
4 19278 5I 9.7237 0.6791
4 19278 6E 0.1683 0.4772
4 19278 6I 8.71 0.7015
5 19278 all 5.7785 0.6713
5 19278 2/3E 3.5118 0.4949
5 19278 2/3I 7.1152 0.6328
5 19278 4E 2.4776 0.4829
5 19278 4I 8.1704 0.8865
5 19278 5E 10.3132 0.8022
5 19278 5I 10.0117 0.7019
5 19278 6E 0.2333 0.6496
5 19278 6I 9.103 0.7194
6 19278 all 5.7146 0.6443
6 19278 2/3E 3.4444 0.4354
6 19278 2/3I 6.9698 0.6125
6 19278 4E 2.3532 0.4976
6 19278 4I 8.1481 0.7882
6 19278 5E 10.2423 0.822
6 19278 5I 10.0205 0.7229
6 19278 6E 0.2217 0.5459
6 19278 6I 8.9702 0.7297
7 19278 all 5.3828 0.6464
7 19278 2/3E 3.1239 0.4733
7 19278 2/3I 6.535 0.592
7 19278 4E 2.1708 0.4898
7 19278 4I 7.7556 0.8549
7 19278 5E 9.7094 0.802
7 19278 5I 9.6608 0.7028
7 19278 6E 0.1733 0.5211
7 19278 6I 8.7019 0.7353
8 19278 all 5.274 0.6547
8 19278 2/3E 3.0329 0.4471
8 19278 2/3I 6.4129 0.5962
8 19278 4E 2.0116 0.471
8 19278 4I 7.8519 0.8522
8 19278 5E 9.4803 0.8252
8 19278 5I 9.576 0.722
8 19278 6E 0.21 0.6094
8 19278 6I 8.6396 0.7148
9 19278 all 5.4544 0.6833
9 19278 2/3E 3.2381 0.4399
9 19278 2/3I 6.8011 0.6121
9 19278 4E 2.2239 0.4808
9 19278 4I 7.9852 0.9025
9 19278 5E 9.693 0.8251
9 19278 5I 9.7602 0.7189
9 19278 6E 0.2122 0.7483
9 19278 6I 8.8238 0.7389
0 23130 all 5.4297 0.6411
0 23130 2/3E 3.1943 0.4058
0 23130 2/3I 6.5956 0.6004
0 23130 4E 2.196 0.4503
0 23130 4I 7.7284 0.8208
0 23130 5E 9.7756 0.8162
0 23130 5I 9.7692 0.7078
0 23130 6E 0.1537 0.6247
0 23130 6I 8.7166 0.7028
1 23130 all 5.4599 0.6345
1 23130 2/3E 3.2143 0.4259
1 23130 2/3I 6.6655 0.5879
1 23130 4E 2.1643 0.487
1 23130 4I 7.7037 0.8168
1 23130 5E 9.9038 0.8232
1 23130 5I 9.6789 0.7073
1 23130 6E 0.1111 0.5074
1 23130 6I 8.712 0.7207
2 23130 all 5.6692 0.6462
2 23130 2/3E 3.4011 0.419
2 23130 2/3I 6.8362 0.5951
2 23130 4E 2.3865 0.4645
2 23130 4I 8.037 0.8388
2 23130 5E 10.2435 0.8314
2 23130 5I 9.8852 0.742
2 23130 6E 0.1718 0.5544
2 23130 6I 8.8503 0.7243
3 23130 all 5.4617 0.642
3 23130 2/3E 3.2672 0.4502
