Run NumNeurons Group meanFR meanCV
9 15426 2/3E 2.9523 0.4855
9 15426 2/3I 6.2838 0.6156
9 15426 4E 3.7902 0.4946
9 15426 4I 6.3889 0.6753
9 15426 5E 8.7229 0.5619
9 15426 5I 8.9126 0.5224
9 15426 6E 0.0042 
9 15426 6I 7.1145 0.4925
0 19278 all 4.1522 0.5342
0 19278 2/3E 2.0356 0.4708
0 19278 2/3I 5.2401 0.6459
0 19278 4E 3.7645 0.4856
0 19278 4I 5.6222 0.5648
0 19278 5E 7.2844 0.5469
0 19278 5I 8.1184 0.5206
0 19278 6E 0.0022 
0 19278 6I 6.5827 0.5046
1 19278 all 4.5824 0.5558
1 19278 2/3E 2.6074 0.5162
1 19278 2/3I 5.8107 0.7155
1 19278 4E 3.7745 0.5137
1 19278 4I 6.0444 0.5718
1 19278 5E 7.9335 0.5461
1 19278 5I 8.5643 0.5244
1 19278 6E 0.0011 
1 19278 6I 6.8862 0.5028
2 19278 all 7.6618 0.7057
2 19278 2/3E 5.5579 0.5727
2 19278 2/3I 10.2016 1.044
2 19278 4E 3.2919 0.4532
2 19278 4I 8.3556 0.7612
2 19278 5E 13.765 0.808
2 19278 5I 11.6316 0.6439
2 19278 6E 0.0056 
2 19278 6I 8.9946 0.6568
3 19278 all 4.9011 0.5536
3 19278 2/3E 2.8571 0.4252
3 19278 2/3I 6.5953 0.7614
3 19278 4E 3.7811 0.4919
3 19278 4I 6.1778 0.53
3 19278 5E 8.4225 0.6412
3 19278 5I 9.2018 0.5301
3 19278 6E 0.0028 
3 19278 6I 7.0379 0.4957
4 19278 all 6.1821 0.6062
4 19278 2/3E 3.9667 0.5509
4 19278 2/3I 8.5775 0.8805
4 19278 4E 3.8723 0.4716
4 19278 4I 6.9481 0.6502
4 19278 5E 11.0588 0.5828
4 19278 5I 9.7617 0.5614
4 19278 6E 0.0022 
4 19278 6I 7.8022 0.5463
5 19278 all 4.1503 0.5254
5 19278 2/3E 1.9036 0.4997
5 19278 2/3I 4.8957 0.5376
5 19278 4E 3.9602 0.4921
5 19278 4I 5.7481 0.603
5 19278 5E 7.4269 0.5327
5 19278 5I 8.2251 0.5193
5 19278 6E 0.0017 
5 19278 6I 6.5203 0.4934
6 19278 all 4.9724 0.5654
6 19278 2/3E 3.1773 0.4656
6 19278 2/3I 6.8176 0.799
6 19278 4E 3.592 0.4917
6 19278 4I 6.3481 0.6213
6 19278 5E 8.3575 0.5731
6 19278 5I 9.098 0.5343
6 19278 6E 0.0022 
6 19278 6I 7.1436 0.4727
7 19278 all 5.0315 0.5619
7 19278 2/3E 2.9512 0.4508
7 19278 2/3I 6.476 0.7609
7 19278 4E 3.8673 0.4995
7 19278 4I 6.1704 0.5881
7 19278 5E 8.849 0.6119
7 19278 5I 8.9971 0.5317
7 19278 6E 0.0011 
7 19278 6I 7.1084 0.4906
8 19278 all 5.4112 0.6203
8 19278 2/3E 3.5226 0.5762
8 19278 2/3I 7.3525 0.895
8 19278 4E 3.5788 0.4685
8 19278 4I 6.3259 0.6398
8 19278 5E 9.3096 0.6534
8 19278 5I 9.5 0.5687
8 19278 6E 0.0039 
8 19278 6I 7.3496 0.5405
9 19278 all 6.5754 0.6506
9 19278 2/3E 4.3782 0.5018
9 19278 2/3I 9.1015 1.0233
9 19278 4E 3.6799 0.4546
9 19278 4I 6.8519 0.6796
9 19278 5E 11.7935 0.7244
9 19278 5I 10.2149 0.5882
9 19278 6E 0.0011 
9 19278 6I 8.2276 0.5825
0 23130 all 5.6994 0.6192
0 23130 2/3E 3.5733 0.5247
0 23130 2/3I 7.5704 0.8326
0 23130 4E 3.7005 0.4378
0 23130 4I 6.7222 0.6207
0 23130 5E 10.1568 0.7373
0 23130 5I 9.4505 0.5785
0 23130 6E 0.0023 
0 23130 6I 7.585 0.6029
1 23130 all 4.0366 0.5255
1 23130 2/3E 2.1987 0.4779
1 23130 2/3I 5.2784 0.6646
1 23130 4E 3.8482 0.4762
1 23130 4I 5.7346 0.5502
1 23130 5E 6.6411 0.51
1 23130 5I 8.2943 0.5135
1 23130 6E 0.0009 
1 23130 6I 6.644 0.486
2 23130 all 5.0947 0.5454
2 23130 2/3E 2.9182 0.4625
2 23130 2/3I 6.5945 0.7287
2 23130 4E 3.8758 0.4728
2 23130 4I 6.0123 0.567
2 23130 5E 9.0831 0.534
2 23130 5I 8.9328 0.5359
2 23130 6E 0.0005 
2 23130 6I 7.2063 0.5171
3 23130 all 4.7966 0.5764
3 23130 2/3E 2.3345 0.5196
3 23130 2/3I 5.7812 0.7302
3 23130 4E 3.8758 0.48
3 23130 4I 5.7346 0.5734
3 23130 5E 8.9014 0.6903
3 23130 5I 8.7985 0.5471
3 23130 6E 0.0019 
3 23130 6I 6.8027 0.4943
4 23130 all 4.4999 0.5147
4 23130 2/3E 2.2819 0.4779
4 23130 2/3I 5.7663 0.5399
4 23130 4E 3.9158 0.4895
4 23130 4I 5.8827 0.5528
4 23130 5E 8.0043 0.5301
4 23130 5I 8.3944 0.5043
4 23130 6E 0.0019 
4 23130 6I 6.7324 0.5088
5 23130 all 5.0581 0.5491
5 23130 2/3E 2.6225 0.4658
5 23130 2/3I 5.9313 0.6771
5 23130 4E 3.8192 0.4831
5 23130 4I 6.0864 0.5694
5 23130 5E 9.4575 0.5983
5 23130 5I 8.8694 0.5241
5 23130 6E 0.0023 
5 23130 6I 7.0249 0.5263
6 23130 all 4.8273 0.5729
6 23130 2/3E 3.2095 0.5091
6 23130 2/3I 6.8534 0.7798
6 23130 4E 3.7005 0.4671
6 23130 4I 6.4753 0.663
6 23130 5E 7.8387 0.5272
6 23130 5I 8.862 0.5397
6 23130 6E 0.0037 
6 23130 6I 7.1383 0.5246
7 23130 all 4.5321 0.5356
7 23130 2/3E 2.2948 0.5353
7 23130 2/3I 5.6506 0.6076
7 23130 4E 3.9324 0.4779
7 23130 4I 5.7963 0.5257
7 23130 5E 8.0986 0.5612
7 23130 5I 8.5495 0.5368
7 23130 6E 0.0009 
7 23130 6I 6.7347 0.5048
8 23130 all 5.6624 0.5535
8 23130 2/3E 3.1111 0.4712
8 23130 2/3I 7.6037 0.6966
8 23130 4E 3.8813 0.4872
8 23130 4I 6.2407 0.5942
8 23130 5E 10.5169 0.5518
8 23130 5I 9.3016 0.5586
8 23130 6E 0.0019 
8 23130 6I 7.2766 0.5151
9 23130 all 4.8625 0.5489
9 23130 2/3E 2.6751 0.4737
9 23130 2/3I 6.3631 0.6963
9 23130 4E 3.8578 0.4859
9 23130 4I 6.1049 0.6055
9 23130 5E 8.6557 0.5485
9 23130 5I 8.6789 0.541
9 23130 6E 0.0023 
9 23130 6I 6.9274 0.4916
0 27000 all 4.7287 0.5713
0 27000 2/3E 2.9309 0.4777
0 27000 2/3I 6.4307 0.8007
0 27000 4E 3.7376 0.4853
0 27000 4I 6.2011 0.6475
0 27000 5E 7.8961 0.5356
0 27000 5I 8.8461 0.5401
0 27000 6E 0.0016 
0 27000 6I 6.9758 0.5121
1 27000 all 4.3709 0.5247
1 27000 2/3E 2.3076 0.4666
1 27000 2/3I 5.4998 0.6326
1 27000 4E 3.8487 0.4883
1 27000 4I 5.7302 0.5666
1 27000 5E 7.6018 0.519
1 27000 5I 8.4632 0.5185
1 27000 6E 0.0024 
1 27000 6I 6.7092 0.4811
2 27000 all 4.7017 0.5355
2 27000 2/3E 2.6031 0.4972
2 27000 2/3I 6.1468 0.6331
2 27000 4E 3.7187 0.4925
2 27000 4I 5.836 0.559
2 27000 5E 8.2802 0.535
2 27000 5I 8.6187 0.5319
2 27000 6E 0.0016 
2 27000 6I 6.8657 0.4997
3 27000 all 4.3435 0.5132
3 27000 2/3E 2.0246 0.4762
3 27000 2/3I 5.2452 0.5313
3 27000 4E 3.9196 0.4763
3 27000 4I 5.6772 0.5748
3 27000 5E 7.8893 0.5277
3 27000 5I 8.2953 0.5211
3 27000 6E 0.0012 
3 27000 6I 6.5681 0.485
4 27000 all 4.0664 0.5239
4 27000 2/3E 1.9826 0.5168
4 27000 2/3I 5.0857 0.5993
